"","PROJECT_NUMBER","NEPA_NAME","REGION","NEPA_STATUS","INIT_DATE","DECISION_DATE","NEPA_TYPE","APPEALED","LITIGATED","ELAPSED_DAYS","DECISION_LEVEL","plan.date.min","plan.date.max","comp.date.min","comp.date.max","num.units.plan","num.units.comp","med.time.lag","th","hf","rf","tsi","completed","act.count","proj.dur.plan","proj.dur.comp","proj.delay","COMPLETED","INITIATED","max_date","max.delay","YP","size"
"1",12262,"Maxville Hazardous Fuels Reduction","1","Complete","7/22/05","2/22/06","CE","0","0",215,"Ranger District/Mgt Unit","2006-09-21","2007-05-01","2007-05-15",NA,625,625,14,0.04,0.96,0,0,0.92,25,223,NA,236,0,1,"2018-12-31",4484,2006,"medium"
"2",30511,"2010 Gravelly Range Aspen Release","1","Complete","1/21/10","7/1/10","CE","0","0",161,"National Forest/Grassland","2012-05-14","2017-10-02","2012-08-24",NA,2052,1886,244,0,1,0,0,0.917808219178082,73,1968,NA,102,0,1,"2018-12-31",2422,2012,"large"
"3",33238,"Flint Foothills Vegetation Management Project","1","Complete","6/2/11","8/4/16","EIS","0","0",1890,"National Forest/Grassland","2016-08-30","2018-08-01","2017-01-30",NA,2358.4,1928.4,358,0.4,0.4125,0.0375,0.15,0.85,80,702,NA,153,0,1,"2018-12-31",853,2016,"large"
"4",20433,"Roadside Safety Tree Removal","1","Complete","3/13/07","1/10/08","CE","0","0",303,"Ranger District/Mgt Unit","2008-06-01","2008-07-01","2008-07-01","2009-09-30",561.8,487.8,152,0.424242424242424,0.575757575757576,0,0,1,33,31,457,30,1,1,"2018-12-31",3865,2008,"medium"
"5",32751,"Fleecer Mountains Project - Supplemental EA","1","Complete","11/27/09","9/30/11","EA","1","1",672,"National Forest/Grassland","2012-05-15","2016-08-01",NA,NA,2581,0,NA,0.494736842105263,0.505263157894737,0,0,0,95,1540,NA,2421,0,0,"2018-12-31",2421,2012,"large"
"6",25023,"Beaverdam/High Rye Safety Tree Removal Project","1","Complete","3/7/08","7/9/08","CE","0","0",124,"Ranger District/Mgt Unit","2008-09-23","2008-09-23","2009-04-30","2009-08-30",28,28,280,0.5,0.5,0,0,1,4,1,123,219,1,1,"2018-12-31",3751,2008,"small"
"7",45691,"Blacktail Headwaters Project","1","Complete","9/26/14","5/26/15","CE","0","0",242,"Ranger District/Mgt Unit","2015-03-10","2018-10-15","2015-09-25","2018-10-15",389,389,0,0,1,0,0,1,20,1316,1117,199,1,1,"2018-12-31",1392,2015,"medium"
"8",7142,"Bear Gulch Hazardous Fuels Reduction","1","Complete","3/1/05","3/15/06","CE","0","0",379,"Ranger District/Mgt Unit","2005-10-01","2009-12-15","2006-07-06",NA,232,220,280.5,0.136363636363636,0.818181818181818,0,0.0454545454545455,0.909090909090909,22,1537,NA,278,0,1,"2018-12-31",4839,2005,"medium"
"9",27579,"Georgetown Lake Hazardous Fuels Reduction","1","Complete","12/12/05","2/27/09","EA","1","0",1173,"Ranger District/Mgt Unit","2014-01-01","2015-05-01","2015-01-05","2015-09-15",144,144,253,0.25,0.5,0,0.25,1,4,486,254,369,1,1,"2018-12-31",1825,2014,"small"
"10",12901,"Lockhart Meadows Post & Pole","1","Complete","6/26/07","10/26/07","CE","0","0",122,"Ranger District/Mgt Unit","2008-01-07","2008-06-20","2012-07-23",NA,104,83.2,1659,0.565217391304348,0.434782608695652,0,0,0.304347826086957,23,166,NA,1659,0,1,"2018-12-31",4011,2008,"small"
"11",47023,"Boulder Lowlands Vegetation","1","Complete","5/12/15","11/13/15","CE","0","0",185,"Ranger District/Mgt Unit","2016-06-01","2018-10-22","2016-09-26",NA,2497.4,2497.4,342.5,0.486486486486487,0.513513513513513,0,0,0.432432432432432,74,874,NA,117,0,1,"2018-12-31",943,2016,"large"
"12",27501,"Roadside Hazard Tree Removal #3","1","Complete","6/13/09","8/28/09","CE","0","0",76,"Ranger District/Mgt Unit","2009-11-11","2010-06-24","2009-11-11",NA,964.8,914.8,405,0.5,0.5,0,0,0.448275862068966,58,226,NA,0,0,1,"2018-12-31",3337,2009,"large"
"13",13168,"Big Swamp Creek Post and Pole","1","Complete","8/29/05","4/10/07","CE","0","0",589,"Ranger District/Mgt Unit","2008-08-21","2008-09-17","2008-09-17",NA,73.9,62,27,0.384615384615385,0.615384615384615,0,0,0.461538461538462,13,28,NA,27,0,1,"2018-12-31",3784,2008,"small"
"14",25807,"East Deer Lodge Valley Landscape Restoration Management","1","Complete","6/10/08","3/30/15","EIS","0","1",2484,"Ranger District/Mgt Unit","2015-06-01","2018-11-01","2016-11-01",NA,4646.8,4622.8,810,0.465686274509804,0.514705882352941,0,0.0196078431372549,0.96078431372549,204,1250,NA,519,0,1,"2018-12-31",1309,2015,"x-large"
"15",50467,"Roadside Hazard Tree Removal #9","1","Complete","11/14/16","7/31/18","CE","0","0",624,"Ranger District/Mgt Unit","2018-12-01","2018-12-01",NA,NA,574.2,574.2,NA,0.5,0.5,0,0,0,8,1,NA,30,0,0,"2018-12-31",30,2018,"medium"
"16",20534,"Anaconda Job Corps Wildland Urban Interface Fuels Hazard Abatement Project","1","Complete","3/26/07","7/29/09","EA","0","0",856,"Ranger District/Mgt Unit","2009-09-30","2016-03-01","2011-01-15","2016-05-31",657,657,472,0.407407407407407,0.518518518518518,0,0.0740740740740741,1,27,2345,1964,472,1,1,"2018-12-31",3379,2009,"medium"
"17",48122,"BDNF Aspen Project","1","Complete","1/12/16","8/4/16","CE","0","0",205,"National Forest/Grassland","2017-10-02","2018-10-23","2017-10-10","2018-11-16",1014.8,1014.8,9.5,0,1,0,0,1,38,387,403,8,1,1,"2018-12-31",455,2017,"large"
"18",24564,"Gravellys Aspen Release","1","Complete","2/5/08","6/23/08","CE","0","0",139,"Ranger District/Mgt Unit","2008-06-01","2010-06-30","2009-07-15","2010-08-25",339,339,49,0,0.631578947368421,0,0.368421052631579,1,19,760,407,409,1,1,"2018-12-31",3865,2008,"medium"
"19",43916,"Roadside Hazard Tree Removal # 7","1","Complete","3/20/14","7/21/14","CE","0","0",123,"Ranger District/Mgt Unit","2014-12-01","2014-12-01","2015-08-17",NA,158,130,485,0.5,0.5,0,0,0.6,10,1,NA,259,0,1,"2018-12-31",1491,2014,"small"
"20",34987,"Crockett Lake Whitebark Pine Demonstration","1","In Progress","4/23/14","8/5/14","CE","0","0",104,"Ranger District/Mgt Unit","2015-10-01","2015-10-01","2015-11-01",NA,60,33,31,0,1,0,0,0.5,2,1,NA,31,0,1,"2018-12-31",1187,2015,"small"
"21",4138,"Middle Fork Riparian Enhancement","1","Complete","6/8/06","5/14/07","CE","0","0",340,"Ranger District/Mgt Unit","2008-09-12","2008-09-12","2010-02-15","2010-03-15",23,23,521,0.5,0.5,0,0,1,12,1,29,521,1,1,"2018-12-31",3762,2008,"small"
"22",3884,"Birch Creek Fuels Management","1","Complete","12/15/05","5/25/07","CE","1","1",526,"Ranger District/Mgt Unit","2008-10-16","2008-10-16","2008-10-17","2008-10-17",200,75,1,0,1,0,0,1,1,1,1,1,1,1,"2018-12-31",3728,2008,"medium"
"23",30894,"Trapper Creek Vegetation Management","1","Complete","2/26/10","3/5/12","EA","1","1",738,"Ranger District/Mgt Unit","2012-08-01","2018-10-12","2012-08-15",NA,4065.9,3655.6,5,0,0.740740740740741,0,0.259259259259259,0.925925925925926,54,2264,NA,14,0,1,"2018-12-31",2343,2012,"x-large"
"24",39130,"Bogus Basin Personal Use Post and Pole Area","1","Complete","12/16/10","4/26/12","CE","0","0",497,"Ranger District/Mgt Unit","2012-04-23","2016-05-18","2016-05-03","2016-05-18",75,75,0,0,1,0,0,1,3,1487,16,1471,1,1,"2018-12-31",2443,2012,"small"
